"Load #","Last Free Day","Total Weight","Container #","Chassis #","APT","Approved Date","Available Date","BOL/BKG","BOOKING #","Billing Date","Billing Note","Branch","Broker Hold","CSR","Caller Booking No","Carrier Hold","S101 - DRAYAGE (ALL-IN)","S100 - DRAYAGE","S108 - CHASSIS","S211 - TRANSLOAD","S132 - OVERWEIGHT","S128 - HAZMAT","S114 - CREDIT","S131 - OFF-HIRE REPOSITIONING","S122 - DROP CHARGE","S152 - PREPULL","S163 - YARD DAYS","S104 - FUEL","S159 - TRI-AXLE","S107 - BONDED MOVE","S162 - YARD PULL","S120 - DRY RUN","S141 - PERMIT","Charge Set Status","Chassis Size","Chassis Type","Cheque Number","Commodity","Container Size","Container Type","Created By","Created By Date","Current Location","Custom","Customer","Cut","Deliver Load Arrived","Deliver Load Enroute","Delivery Location","Discharged Date","Dispatched By","Driver","Driver Note","Drop Container Arrived","Drop Container Enroute","ETA","Empty Date","Freight","Gray Chassis #","Gray Container #","Graypool Chassis #","Graypool Container #","Hazmat","Hook Chassis","Hook Chassis Arrived","Hook Chassis Enroute","Hook Container Arrived","Hook Container Enroute","House BOL","Ingate Date","Is Ready To Return","Load Completed At","Move","Load Notes","Move Assigned Date","Next Address","Other References","Outgate Date","Over Weight","PICKUP","PCS","PICKUP #","PO #","Paid Amount","Pallets","Payment Date","Per Diem Free Day","Pick Up Location","Pick up #","Pricing Total","Pull Container Arrived","Pull Container Enroute","Purchase Order #","Reference #","Remaining Amount","Reservation #","Return","Return #","Return Container Arrived","Return Container Enroute","Return Location","SSL","Seal #","Shipment","Status","Stop Off Arrived","Stop Off Enroute","Temperature","Terminal Address","Terminate Chassis","Terminate Chassis Arrived","Terminate Chassis Enroute","Total Amount","Total Distance","Vessel Name","Voyage","Warehouse Address","Yard Note"
"THWK_M135047","","22000","JXLU6393796","","","","","SNH22197011","","","","","No","","","No","","380","35","","","","","","","","","","","","","","","DRAFT","","","","Cooling products ","40'","HC","Joel","02/11/26 02:01 PM","","HOLD","Steam Logistics","","","","SMART FAMILY OF COOLING PRODUCTS","","","","","","","02/26/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","415","","","","","0","","","","","","","ZIM","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","415","47.41","JAV","GN608W","20104 East Hardy Road, Houston, TX 77073, US",""
"THWK_M135028","","33664.55","KOCU4429659","","","","","PUSM91356000","","","","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","","","","Motors ","40'","HC","Joel","02/11/26 08:10 AM","","HOLD","SOLL INTERNATIONAL INC","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 PM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","0","","","","","0","","","","","","","HYUNDAI","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","0","17.58","EVT","126W","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135026","02/20/26","42946","TIIU4522712","","","","02/16/26 07:34 AM","LMA821613","","","","","No","","","No","","350","40","300","","","","","","","","","","","","","","DRAFT","","","","Decking ","40'","HC","Joel","02/11/26 07:47 AM","","RELEASED","NOLAN TRANSPORTATION GROUP","","","","Tigerhawk WHSE -MUST CHECK IN-","02/15/26 12:00 AM","","","does not need a reference for empty return","","","02/15/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","will go to exam site-- we will pickup from there","","","","","No","","","","","0","","","","BARBOURS CUT TERMINALS","","690","","","","","0","","","","","","IMS  / COOPER PORTS OF AMERICA","ZIM","","","AVAILABLE","","","","1515 E Barbours Cut Blvd, La Porte, TX 77571, US","","","","690","26.07","CHD","293S","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135025","","27238","TCLU4253200","","","","","SEL2018177","","","","","No","","","No","","","","","","","","","","","","","","","","","","DRAFT","","","","Segment loose frames ","40'","ST","Joel","02/11/26 07:23 AM","","HOLD","KCH TRANSPORTATION","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/23/26 12:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","0","","","","9355593","0","","","","","","","CMA-CGM","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","0","17.58","CCD","0PGMUW1MA","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135019","02/23/26","44000","TGBU5618018","","","","02/17/26 05:26 PM","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","40'","HC","Joel","02/10/26 06:38 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","AVAILABLE","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135018","02/23/26","44000","MSDU8403701","","","","02/17/26 06:17 PM","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","40'","HC","Joel","02/10/26 06:38 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","AVAILABLE","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135017","02/23/26","44000","TIIU4333508","","","","02/17/26 05:25 PM","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","40'","HC","Joel","02/10/26 06:38 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","AVAILABLE","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135016","02/23/26","44000","MSMU8955610","","","","02/17/26 06:18 PM","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","40'","HC","Joel","02/10/26 06:38 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","AVAILABLE","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135015","02/23/26","44000","MSBU8102927","","","","02/17/26 05:25 PM","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","","","Joel","02/10/26 06:38 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","AVAILABLE","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
"THWK_M135014","","44000","MSMU7016941","","","","","WP061130","","","","","No","","","No","800","","","","","","","","","","","","","","","","","DRAFT","","","","Steel Beams ","40'","HC","Joel","02/10/26 06:37 PM","","RELEASED","Karamtara Engineering Limited","","","","Tigerhawk WHSE -MUST CHECK IN-","","","","","","","02/17/26 07:00 AM","","RELEASED","","","","","false","","","","","","","","No","","IMPORT","","","","","","No","","","","","0","","","","BAYPORT TERMINAL","","800","","","","","0","","","","","","","MSC","","","PENDING","","","","12619 Port Rd, Seabrook, TX 77586, US","","","","800","17.58","ITA","IV606R","4838 Borusan Rd, Baytown, TX 77523, US",""
