COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
INTEGRATED INDUSTRIES CORP,,,7226 N Loop E Fwy,Houston,TX,77028,"shipper,containerReturn"," "," ",,NO," "
INTEGRATED INDUSTRIES-OATES RD,,,5430 Oates Road,Houston,TX,77013,"chassisTermination,chassisPick,consignee,shipper,containerReturn"," "," ",,NO," "
Integrated Proteins,,,4001 Oscar Nelson Jr dr building D,Baytown,TX,77523,"consignee,shipper,containerReturn"," "," ",,NO," "
Internal - Aequus,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Best Bay,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - BMI,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - CBMM,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - CONSOLIDATED GRAIN AND BARGE CO DBA AGFORCE TRANSPORT SERVICES,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - DGL,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Global Gateway Logistics,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - GlobalTranz,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Interfreight,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Landstar,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Lynnhurst,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - NTG,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Surface One,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Tarquin Polymers & Colors Inc,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal - Warrior Truckin,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal B&L,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal BPS Logistics,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal NAV Logistics,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal WEIDA,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal Wynca,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal-7 Star Logistics Solutions,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal-BFT Trucking,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal-MLM,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",NO,NO," "
INTERNAL-NOLAN,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Internal-Transcargo,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
INTERNATIONAL CARGO INC,,,4820 Schaefer Avenue,Chino,CA,91710,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
ISOCHEM LOGISTICS,,,11000 Beaumont Hwy,Houston,TX,77078,shipper," "," ",,NO," "
ITS,,ITS ConGlobal Galena,500 Mayo Shell Road,Galena Park,TX,77105,"shipper,containerReturn"," "," ",,NO," "
ITS ConGlobal La Porte,,ITS LP,1802 N Hwy 146,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
ITS LP,,ITS ConGlobal La Porte,1802 Hwy 146,La Porte,TX,77571,"shipper,containerReturn"," "," ",,NO," "
Jacintoport International LLC,,,16203 Peninsula Street,Houston,TX,77015,shipper," "," ",,NO," "
Janel Group,,,4838 Borusan Road,Baytown,TX,77523,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
Jindal SAW USA LLC,2815733630,,1411 S Farm-to-Market 565 Rd,Baytown,TX,77523,"caller,consignee,shipper,containerReturn"," "," ",NO,NO," "
JPI,,Port of Houston - Jacinto Port International,16398 Jacintoport Blvd,Houston,TX,77015,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
Katoen Natie,,,102 Old Underwood rd,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
KCS,,KCS - Rosenberg,11538 Gin Rd,Beasley,TX,77417,"shipper,containerReturn"," "," ",,NO," "
Knight La Porte yard,,,11100 TX-225,La Porte,TX,77571,"consignee,shipper,containerReturn"," "," ",,NO," "
KNX LOGISTICS,,,2200 S 75TH ST AVE Phoenix 85043 AZ US,Phoenix,AZ,85043,"caller,shipper,containerReturn"," ",30,YES,NO," "
KTN BAYTOWN,,,1919 FM 565,Baytown,TX,77523,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
KUEHNE+NAGEL,,,4100 N Commerce Dr,East Point,GA,30344,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," ",30,NO,NO," "
Landstar Global Logistics,3463470742,Angela patterson,13410 Sutton Park Dr S,Jacksonville,FL,32224,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," ",30,NO,NO," "
Law Offices of Seth Kretzer dba Black Rabbit 3PL in Receivership,,,3800 Brittmoore Rd STE 190,Houston,TX,77043,"caller,consignee,shipper,containerReturn"," "," ",NO,NO," "
LECANGS LLC,,,4660 South Sam Houston Parkway West BLD #3,Houston,TX,77053,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
MANCHESTER,,Manchester Terminal,10000 Manchester St,Houston,TX,77012,"shipper,containerReturn"," "," ",,NO," "
Market Yard,,,8350 Tilgham St,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
Mars Packing and Warehouse Inc.,8324201177,,5707 Old Clinton Rd.,Houston,TX,77020,"shipper,containerReturn,consignee"," "," ",,NO," "
MAUSER USA LLC,,,4004 HOMESTEAD RD HOUSTON 77028 TX USA,HOUSTON,TX,77028,"consignee,shipper,containerReturn"," "," ",,NO," "
MAXWELL FLOORING,,,1075 West Sam Houston Parkway North,Houston,TX,77043,"consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
MCLANE WAREHOUSE,,,1902 CYPRESS STATION 77090,Houston,TX,77090,"consignee,shipper,containerReturn"," "," ",,NO," "
MEXCOR,,,11177 Compaq Center W Dr,Houston,TX,77070,"consignee,shipper,containerReturn"," "," ",,NO," "
MOBILE BOX,,,4002 Oates Rd,Houston,TX,77013,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
MOODY COMPRESS #4,,,4200 Avenue H,Galveston,TX,77550,"consignee,shipper,containerReturn"," "," ",,NO," "
MORPAK SPECIALITIES INC.,,,2500 DISCOVERY BLVD. ROCKWALL TX 75032,Rockwall,TX,75032,"consignee,shipper,containerReturn"," "," ",,NO," "
Munlti-wing America,,,20060 Nichols Lane,New Caney,TX,77357,"consignee,shipper,containerReturn"," "," ",,NO," "
National Paper (Inteplast),,,651 Gellhorn Dr,Houston,TX,77029,"consignee,shipper,containerReturn"," "," ",,NO," "
NDS,,,1550 North J Street,La Porte,TX,77571,"chassisTermination,chassisPick,shipper,containerReturn"," "," ",,NO," "
NDS YARD,,,10315 Red Bluff Rd,Pasadena,TX,77507,ALL," "," ",NO,NO," "
NOLAN TRANSPORTATION GROUP,,,1735 Founders Pkwy,Alpharetta,GA,30009,"caller,consignee,shipper,containerReturn,chassisTermination,chassisPick"," ",30,YES,NO," "
NVR Internal,,,1485 East Sam Houston Parkway South,Pasadena,TX,77503,"caller,consignee,chassisTermination,chassisPick,shipper,containerReturn"," "," ",NO,NO," "
