COMPANY NAME,PHONE,MAIN CONTACT NAME,ADDRESS,CITY,STATE,ZIP CODE,CUSTOMER TYPE,CREDIT LIMIT,DEFAULT PAYMENT TERMS,CREDIT HOLD,ACCOUNT HOLD,CURRENCY
ATKORE PLASTIC PIPE CORP,,,1202 N. BOWIE DR WEATHERFORD TX 76086 WEATHERFORD TX 76086 76086 TX 76086 US,Weatherford,TX,76086,consignee," "," ",,NO," "
Atlantic Relocation,,,5210 Tacoma Drive,Houston,TX,77041,consignee," "," ",,NO," "
ATLAS CONSTRUCTION SUP,,,1201 Kessler Avenue,Schulenburg,TX,78956,consignee," "," ",,NO," "
ATLAS COPCO COMPRESSORS,,,15045 Lee Road,Houston,TX,77032,consignee," "," ",,NO," "
AUDUBON METALS TEXAS,,,5200 Texas 31,Corsicana,TX,75110,consignee," "," ",,NO," "
Aurora plastics,,,4395 Pasadena Fwy,Pasadena,TX,77503,"consignee,shipper,containerReturn"," "," ",,NO," "
AUSTIN BAZAAR,,,1150 New Technology Boulevard,Hutto,TX,78634,consignee," "," ",,NO," "
AUSTIN WAREHOUSE & DISTRIBUTION,,,10200 Mc Kalla Place,Austin,TX,78758,consignee," "," ",,NO," "
AVILA FOOD EQUIPMENT,,,1803 S Zarzamora St,San Antonio,TX,78207,consignee," "," ",,NO," "
Aviva Metals Inc,,,2929 West 12th Street,Houston,TX,77008,consignee," "," ",,NO," "
AVIVA WHOLESALE INC.,7135187272,,10355 Harwin Dr.,Houston,TX,77036,consignee," "," ",,NO," "
AWD,,,2301 Federal St,Killeen,TX,76543,consignee," "," ",,NO," "
AWESUNG/BLOOMSUNG INC,,,"611 SOUTH CRAVENS ROAD, SUITE 100",Missouri City,TX,77489,consignee," "," ",,NO," "
AWI,,,1918 Collingsworth Street,Houston,TX,77009,"consignee,shipper,containerReturn"," "," ",,NO," "
AXALTA COATING SYSTEMS,,,9800 Genard Road,Houston,TX,77041,consignee," "," ",,NO," "
AZTEC GLASS & MIRROR,,,5514 Louetta Rd,Spring,TX,77379,consignee," "," ",,NO," "
B & S SERVICES INC.,,,11928 Farm to Market Road 1301,Boling-Iago,TX,77420,consignee," "," ",,NO," "
BACK FLOW ARMOR LLC,,,2516 E Crosstimbers St,Houston,TX,77093,consignee," "," ",,NO," "
baker hughes,,,9902 sheldon rd 77049,Houston,TX,77049,"consignee,shipper,containerReturn"," "," ",,NO," "
BALCONES DISTILLING LLC,,,225 S 11th St,Waco,TX,76701,consignee," "," ",,NO," "
BAR STOCK SPECIALTIES INC.,,,11710 Charles Rd,Jersey Village,TX,77041,consignee," "," ",,NO," "
BARBER SPECIALTIES,,,2406 Kleberg Road,Seagoville,TX,75159,consignee," "," ",,NO," "
BARBOURS CUT TERMINALS,,Port of Houston - Barbours Cut,1515 E Barbours Cut Blvd,La Porte,TX,77571,"shipper,containerReturn,consignee,chassisTermination,chassisPick"," "," ",,NO," "
BARRETT CARTAGE SYSTEMS,,,"18951 KENSWICK DRIVE #120,",Humble,TX,77338,consignee," "," ",,NO," "
Barsan Global Logistics,,,2020 Texas 146,La Porte,TX,77571,"shipper,containerReturn,consignee"," "," ",,NO," "
Bartlett Manufacturing,,,930 U.S. 290,Johnson City,TX,78636,consignee," "," ",,NO," "
BASF- CORP,,,602 Copper Road,Freeport,TX,77541,"consignee,shipper,containerReturn"," "," ",,NO," "
BATHSYSTEM AMERICA LLC,2818885007,RAFEL STRUVE,5301 Polk St,Houston,TX,77023,consignee," ",30,,NO," "
BAYPORT TERMINAL,,,12619 Port Rd,Seabrook,TX,77586,"consignee,shipper,containerReturn,chassisTermination,chassisPick"," "," ",,NO," "
